ContactMail|OrderDate|City|Country|OrderTotal|Fulfilled
dolor@Fuscefeugiat.com|03-03-2021|Cumberland County|Estonia|£71.43|Y
Cras.eu.tellus@Duisdignissimtempor.ca|07-09-2021|Maipú|Mali|£68.31|N
Nulla@amagna.net|22-10-2021|Melipeuco|Tanzania|£11.45|Y
lectus.justo@Integeraliquamadipiscing.net|16-11-2021|Bath|Saint Helena|£3.40|Y
in.molestie.tortor@at.edu|21-05-2021|Santa Rosa de Cabal|Liechtenstein|£8.61|N
dictum.magna@elit.org|23-08-2021|Konin|Croatia|£95.08|Y
et.tristique@Nuncmauris.ca|25-08-2020|Largs|Estonia|£20.49|Y
sit.amet@dui.edu|02-12-2021|Roccabruna|French Guiana|£78.63|N
diam.eu.dolor@mifringillami.ca|18-05-2022|Aiseau-Presles|Uzbekistan|£27.59|Y
enim.Sed@mauris.edu|15-01-2022|Erie|Senegal|£36.92|N
ante.ipsum.primis@tellusimperdietnon.org|10-03-2022|Bornival|Afghanistan|£1.89|N
quam.elementum.at@Praesenteu.ca|20-07-2020|Spruce Grove|Niue|£58.66|Y
augue.ut@duiin.co.uk|13-12-2020|Guarapuava|Tanzania|£20.23|Y
ac.mi.eleifend@ante.net|02-11-2021|West Jordan|Nigeria|£92.54|N
semper@nondui.net|26-06-2022|Argyle|China|£49.28|N
posuere.at@Vivamus.edu|02-08-2021|Nevers|Suriname|£9.33|Y
scelerisque@faucibusMorbivehicula.edu|21-11-2021|Serrata|Andorra|£84.02|Y
odio@nibhsitamet.com|30-06-2021|King Township|Saint Martin|£68.02|Y
Proin.non.massa@Suspendisse.net|19-06-2021|Thalassery|Uzbekistan|£23.01|N
amet.luctus.vulputate@vitae.net|28-11-2021|Noduwez|Albania|£96.24|Y
faucibus.leo@Maecenas.net|20-06-2021|Inverurie|Eritrea|£79.37|Y
erat.semper@utquam.ca|16-01-2022|Belgrade|Samoa|£38.68|Y
Aenean.eget.magna@sitamet.com|22-10-2021|Bernburg|Iran|£71.82|Y
amet.nulla@pede.org|16-04-2021|Hoeke|Argentina|£95.72|Y
Donec.luctus.aliquet@Aliquamornarelibero.co.uk|16-03-2022|Bhusawal|Ukraine|£2.88|N
ullamcorper.magna.Sed@nuncsedpede.edu|24-12-2021|Coimbatore|Liechtenstein|£81.83|Y
adipiscing@cursusdiam.org|19-11-2021|Noorderwijk|Luxembourg|£48.27|Y
tincidunt.dui.augue@cursusluctusipsum.ca|30-12-2021|Königs Wusterhausen|Belgium|£64.98|Y
nisi@odio.com|24-03-2022|Calais|Bermuda|£53.69|N
enim@malesuada.ca|21-02-2021|Precenicco|Cape Verde|£69.13|N
ut.lacus.Nulla@facilisisnonbibendum.ca|23-10-2021|Lives-sur-Meuse|Morocco|£72.86|Y
